,artist_name,track_name,track_id,popularity
4355,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4356,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4357,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4358,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4359,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4360,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4361,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4362,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4363,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4364,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4365,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4366,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4367,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,97
4368,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,94
4369,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,94
4370,Ariana Grande,pov,3UoULw70kMsiVXxW0L3A33,90
4371,Ariana Grande,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,86
4372,Ariana Grande,just like magic,7Dx9Z6Aon1qPS2N0rHSWTe,83
4373,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,89
4374,Ariana Grande,off the table (with The Weeknd),7E1jVNoWuemqUryI4FxsVD,83
4375,Ariana Grande,safety net (feat. Ty Dolla $ign),14gkWVFMwdxBMyqBw1wmIg,82
4376,Ariana Grande,nasty,0sci7ppTZFm4mjcH3nu8yO,82
4377,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4378,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4379,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4380,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4381,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4382,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4383,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4384,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4385,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4386,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4387,Lady A,Champagne Night - From Songland,48F2xnWq3LuzYWML327Z2r,72
4388,Lady A,What If I Never Get Over You,0qkdE1C0ufnUISKwhg8Wh6,70
4389,Lady A,Need You Now,11EX5yhxr9Ihl3IN1asrfK,69
4390,Lady A,Downtown,4kY7rYtE4OQkJNq22OIYRI,67
4391,Khruangbin,Lady and Man,0tjTndnyFm1xQsaHGf2imW,51
4392,Lady A,Ocean,5G6Nf4Ytk3dzxnhfP2AhKR,68
4393,Chris Tomlin,Who You Are To Me (feat. Lady A),1L4MQJhKyrw0XiF0n0C2hL,65
4394,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,79
4395,Lady A,American Honey,4xInIiKipU1mtUogJ3ZdYr,63
4396,Lady A,Christmas Through Your Eyes,01ZUp6PoqFuRtMTMODnPOf,62
4397,Justin Bieber,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94
4398,Justin Bieber,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,95
4399,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,93
4400,Justin Bieber,Mistletoe,7xapw9Oy21WpfEcib2ErSA,89
4401,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,89
4402,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,86
4403,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",6FuGJB290AQMAHTfjOYVaK,86
4404,Justin Bieber,Mistletoe,2MBQOhgASaV6N5ZWNmpSSy,54
4405,Justin Bieber,Holy,0HTRyMiBJAUvwK10v6wBOR,52
4406,Justin Bieber,Drummer Boy,3gIRWI8MWvTJWTtjMwXLVv,50
4407,Morgan Wallen,7 Summers,0tbjiOUl4k492KPdWZS9sy,82
4408,Morgan Wallen,More Than My Hometown,0eBXyY4SatzpE7opnzgXvz,81
